Name of the School,Candidates Registerd,Candidates Appeared,Distin-ction,Grade I,Grade II,Pass Grade,Total Pass,Pass Percent,Year
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLL, SASWAD, PUNE",251,251,213,37,1,0,251,100.0,2021
"MAHATMA GANDHI VIDYALAYA, NIRA, TQ.PURANDHAR, PUNE",100,100,55,38,7,0,100,100.0,2021
"PUNYASHLOK AHILYADEVI VIDYA MANDIR, JEJURI, PUNE",64,64,29,27,8,0,64,100.0,2021
"MAHARASHI WALMIKI VIDYALAYA,WALHE,T.PURANDHAR,PUNE",100,100,43,41,14,1,99,99.0,2021
"KARMAVEER VIDYALAYA, PARINCHE, TQ.PURANDHAR, PUNE",60,60,27,26,7,0,60,100.0,2021
"PANCHAKROSHI SHETKARI TECH.H.SCHOOL, WAGHAPUR,PUNE",47,47,25,21,1,0,47,100.0,2021
"PURANDHAR HIGH SCHOOL, SASWAD, TQ.PURANDAR, PUNE",169,169,20,62,83,4,169,100.0,2021
"SHANKARRAO DONE VIDYALAYA GARADE, TQ.PURANDAR,PUNE",71,71,32,24,15,0,71,100.0,2021
"SHRI.SHIVAJI VIDYA MANDIR, AMBALE, RAJEWADI, PUNE",21,21,6,13,2,0,21,100.0,2021
"RAVINDRANATH TAGORE VIDYALAYA, VEER,PURANDHAR,PUNE",49,49,14,30,5,0,49,100.0,2021
"MAHATMA JYOTIRAO PHULE VIDY,YAMAISTAND,SHIVRI PUNE",58,58,29,28,1,0,58,100.0,2021
"AGRO-INDUSTRIAL H.SCHOOL, CHAMBALI,PURANDHAR,PUNE",66,66,37,21,8,0,66,100.0,2021
"BALSIDHANATH VIDYALAYA, BELSAR, PURANDAR, PUNE",16,16,13,3,0,0,16,100.0,2021
"SHRI.KATOBA HIGH SCHOOL, DIV E, PURANDAR, PUNE",75,75,9,40,26,0,75,100.0,2021
"DR.S.KOLATE VIDYALAYA, PISARVE, PURANDAR, PUNE",34,34,6,22,6,0,34,100.0,2021
"PARESHWAR VIDYALAYA, PARGAON-MEMANE, PURANDAR PUNE",46,46,16,16,14,0,46,100.0,2021
"LILAVATI R.S.GIRLVS SCHOOL, NEERA, PURANDAR, PUNE",95,95,61,27,7,0,95,100.0,2021
"JOTIRLING HIGH SCHOOL, GULUNCHE, TQ.PURANDHAR PUNE",82,82,25,36,21,0,82,100.0,2021
"NEW ENGLISH SCHOOL, PANGARE, TQ.PURANDHAR, PUNE",14,14,8,6,0,0,14,100.0,2021
"YASHWANT VIDYALAYA, MAWADI-KADEPATHAR, PURANDHAR",37,37,28,7,2,0,37,100.0,2021
"NEW ENGLISH SCHOOL, MANDKI, TQ.PURANDAR, DIST.PUNE",65,65,40,21,4,0,65,100.0,2021
"SHRI.BHULESHWAR VIDYALAYA,MALSHIRAS,PURANDHAR,PUNE",58,58,20,23,13,2,58,100.0,2021
"SHRI.SIDHESHWAR VIDYALAYA, NAIGAON, TQ.PURANDAR",24,24,10,8,6,0,24,100.0,2021
"MAHARSHI VALMIK VIDYALAYA, KOLVIHIRE, TQ.PURANDAR",42,42,16,26,0,0,42,100.0,2021
"SWA SMT KAMLABAI M MUTHA KANYA PRASHALA, SASWAD,",59,59,10,30,19,0,59,100.0,2021
"VIDYA MAHAMANDAL PRASHALA, KOTHALE, TQ.PURANDHAR",89,89,41,35,13,0,89,100.0,2021
"SHIVSHAMBHO VIDYALAYA, EAKHATPUR-MUNJWADI,PURANDAR",28,28,8,13,7,0,28,100.0,2021
"MADHYAMIK VIDYALAYA, MANDHAR, TQ.PURANDAR",22,22,6,15,1,0,22,100.0,2021
"SHRI.KEDARESHWAR VIDYALAYA, KALDARI, TQ.PURANDAR",30,30,4,22,4,0,30,100.0,2021
"SHRI.NAGESHWAR VIDYALAYA, NAZARE(K P), TQ.PURANDAR",26,26,16,8,2,0,26,100.0,2021
"S.M.DR.PATANGRAO KADAM VIDYALAYA,DOUNDDAJ,PURANDAR",27,27,12,10,5,0,27,100.0,2021
"MADHYAMIK VIDYALAYA, YADAVWADI, P.HARGUDE,PURANDAR",29,29,23,6,0,0,29,100.0,2021
"SHRI.KANIFNATH VIDYALAYA, BHIVARI, TQ.PURANDAR",82,82,50,28,4,0,82,100.0,2021
"NEW ENGLISH SCHOOL, JEUR, TQ.PURANDAR",25,25,6,15,3,1,25,100.0,2021
"SHRI.BHAIRAVNATH VIDYALAYA, VANPURI, TQ.PURANDAR",29,29,15,12,2,0,29,100.0,2021
"MATOSHREE JIJAI SOPANRAO JADHAV SEC.HI.SCH,SAKURDE",18,18,8,8,2,0,18,100.0,2021
"MAVADI PIMPRI HIGH SCHOOL, PIMPRI, TQ.PURANDAR",35,35,14,14,7,0,35,100.0,2021
"MAHUR MADYAMIK VIDYALAYA, MAHUR, TQ.PURANDAR",24,24,7,12,5,0,24,100.0,2021
"HARANI MADHYAMIK VIDYALAYA, HARANI, TQ.PURANDAR",24,24,11,9,4,0,24,100.0,2021
"JIJAMATA HIGH SCHOOL, JEJURI, TQ.PURANDAR",178,178,78,77,23,0,178,100.0,2021
"ADRSHA MADHYAMIK VIDYALAYA, KETKAVALE, TQ.PURANDAR",32,32,15,14,3,0,32,100.0,2021
"ACHARYA P K ATRE VIDYLAYA , PIMPALE, TQ.PURANDAR",32,32,16,11,5,0,32,100.0,2021
"NEW ENGLISH SCHOOL, JAWALARJUN, TQ.PURANDAR",13,13,5,8,0,0,13,100.0,2021
"NEW ENGLISH SCHOOL, GURHOLI, TQ.PURANDAR",57,57,30,24,3,0,57,100.0,2021
"SHRI,SHIVSHAMBHU MADHYAMIK VIDYALAYA, KHALAD, PUNE",16,16,7,7,2,0,16,100.0,2021
"HON.DADA JADHAVRAO VIDYA, OLD JEJURI, TQ.PURANDAR",20,20,6,4,9,1,20,100.0,2021
"HUTATMA UMAJI NAIK H.SCH, A/P BHIWADI, TQ.PURANDAR",40,40,11,23,6,0,40,100.0,2021
"RISE PISE MADHYAMIK VIDYALAYA, RISE, TQ.PURANDAR",19,19,8,10,1,0,19,100.0,2021
"SADGURU SHREE NARAYAN MAHARAJ MADHY.VID,NARAYANPUR",26,26,4,14,8,0,26,100.0,2021
"RAJE SHIVRAYA VIDAYALAYA, PANAWADI, TQ.PURANDAR",13,13,6,7,0,0,13,100.0,2021
"SHRI.B.S.KAKADE (DESHMUKH) VIDYALAYA, PIMPRE(KD)",38,38,17,17,4,0,38,100.0,2021
"GURUWARYA NARAYAN MAHARAJ MADHYA.VIDYALAYA, HIVRE",22,22,10,4,7,1,22,100.0,2021
"WAGHESHWARI MADHYA.VIDYALAYA, PINGORI, TQ.PURANDAR",14,14,6,8,0,0,14,100.0,2021
"RAJURI MADHYAMIK VIDYALAYA, RAJURI, TQ.PURANDAR",30,30,8,16,6,0,30,100.0,2021
"SHRI.SADGURU KANIFNATH MADHYAMIK VIDYALAYA,BOPGAON",30,30,20,10,0,0,30,100.0,2021
"SHIVAJI ENGLISH MEDIUM SCHOOL, SASWAD, TQ.PURANDAR",93,93,63,28,2,0,93,100.0,2021
"SHREE SANT SOPANKAKA HSCHL,SASWAD,TA PURANDAR,PUNE",92,92,58,32,2,0,92,100.0,2021
"PURANDAR PUBLIC SCHOOL,JEJURI,PUNE",21,21,10,6,5,0,21,100.0,2021
"MAHATMA JYOTIBHA PHULE VIDYALAY,PURANDHAR,PUNE,",16,16,1,9,6,0,16,100.0,2021
"GURUKUL ENGLISH MEDIUM SCHOOL, PURANDHAR, PUNE",2,2,2,0,0,0,2,100.0,2021
ANU.JATI VA NAVBHUDHA MULANCHI SHASAKIYA NIWASI SC,21,21,7,12,2,0,21,100.0,2021
"JIJAMATA ENGLISH MEDIUM HIGH SCHOOL,PURANDHAR,PUNE",33,33,14,8,11,0,33,100.0,2021
"SHARADA ENGLISH MEDIUM SCHOOL, WAGHAPUR",8,8,7,1,0,0,8,100.0,2021
"INDU ENGLISH SCHOOL, JEJURI-MORGAON ROAD,KOLVIHIRE",13,13,13,0,0,0,13,100.0,2021
SHREENATH EDU SOC ENG MED SCHOOL VEER,14,14,14,0,0,0,14,100.0,2021
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLL, SASWAD, PUNE",267,266,88,106,60,11,265,99.62,2022
"MAHATMA GANDHI VIDYALAYA, NIRA, TQ.PURANDHAR, PUNE",102,102,12,45,32,7,96,94.11,2022
"PUNYASHLOK AHILYADEVI VIDYA MANDIR, JEJURI, PUNE",62,59,9,31,13,5,58,98.3,2022
"MAHARASHI WALMIKI VIDYALAYA,WALHE,T.PURANDHAR,PUNE",103,103,21,46,23,2,92,89.32,2022
"KARMAVEER VIDYALAYA, PARINCHE, TQ.PURANDHAR, PUNE",62,62,28,23,11,0,62,100.0,2022
"PANCHAKROSHI SHETKARI TECH.H.SCHOOL, WAGHAPUR,PUNE",55,55,30,20,5,0,55,100.0,2022
"PURANDHAR HIGH SCHOOL, SASWAD, TQ.PURANDAR, PUNE",135,135,25,45,47,13,130,96.29,2022
"SHANKARRAO DONE VIDYALAYA GARADE, TQ.PURANDAR,PUNE",64,64,39,25,0,0,64,100.0,2022
"SHRI.SHIVAJI VIDYA MANDIR, AMBALE, RAJEWADI, PUNE",20,20,1,8,9,2,20,100.0,2022
"RAVINDRANATH TAGORE VIDYALAYA, VEER,PURANDHAR,PUNE",46,46,3,24,17,2,46,100.0,2022
"MAHATMA JYOTIRAO PHULE VIDY,YAMAISTAND,SHIVRI PUNE",62,62,32,24,6,0,62,100.0,2022
"AGRO-INDUSTRIAL H.SCHOOL, CHAMBALI,PURANDHAR,PUNE",60,60,39,20,1,0,60,100.0,2022
"BALSIDHANATH VIDYALAYA, BELSAR, PURANDAR, PUNE",35,35,12,14,7,2,35,100.0,2022
"SHRI.KATOBA HIGH SCHOOL, DIV E, PURANDAR, PUNE",72,72,41,26,5,0,72,100.0,2022
"DR.S.KOLATE VIDYALAYA, PISARVE, PURANDAR, PUNE",37,37,12,17,6,2,37,100.0,2022
"PARESHWAR VIDYALAYA, PARGAON-MEMANE, PURANDAR PUNE",42,42,31,9,2,0,42,100.0,2022
"LILAVATI R.S.GIRL'S SCHOOL, NEERA, PURANDAR, PUNE",93,92,33,37,17,5,92,100.0,2022
"JOTIRLING HIGH SCHOOL, GULUNCHE, TQ.PURANDHAR PUNE",55,54,19,20,15,0,54,100.0,2022
"NEW ENGLISH SCHOOL, PANGARE, TQ.PURANDHAR, PUNE",24,24,7,15,2,0,24,100.0,2022
"YASHWANT VIDYALAYA, MAWADI-KADEPATHAR, PURANDHAR",31,31,21,8,2,0,31,100.0,2022
"NEW ENGLISH SCHOOL, MANDKI, TQ.PURANDAR, DIST.PUNE",60,60,51,7,2,0,60,100.0,2022
"SHRI.BHULESHWAR VIDYALAYA,MALSHIRAS,PURANDHAR,PUNE",42,42,28,14,0,0,42,100.0,2022
"SHRI.SIDHESHWAR VIDYALAYA, NAIGAON, TQ.PURANDAR",19,19,3,9,6,1,19,100.0,2022
"MAHARSHI VALMIK VIDYALAYA, KOLVIHIRE, TQ.PURANDAR",37,35,11,20,4,0,35,100.0,2022
"SWA SMT KAMLABAI M MUTHA KANYA PRASHALA, SASWAD,",38,38,17,15,5,0,37,97.36,2022
"VIDYA MAHAMANDAL PRASHALA, KOTHALE, TQ.PURANDHAR",72,72,38,28,5,1,72,100.0,2022
"SHIVSHAMBHO VIDYALAYA, EAKHATPUR-MUNJWADI,PURANDAR",29,29,14,13,2,0,29,100.0,2022
"MADHYAMIK VIDYALAYA, MANDHAR, TQ.PURANDAR",16,16,10,5,1,0,16,100.0,2022
"SHRI.KEDARESHWAR VIDYALAYA, KALDARI, TQ.PURANDAR",36,36,19,17,0,0,36,100.0,2022
"SHRI.NAGESHWAR VIDYALAYA, NAZARE(K P), TQ.PURANDAR",14,14,9,5,0,0,14,100.0,2022
"S.M.DR.PATANGRAO KADAM VIDYALAYA,DOUNDDAJ,PURANDAR",29,29,23,5,1,0,29,100.0,2022
"MADHYAMIK VIDYALAYA, YADAVWADI, P.HARGUDE,PURANDAR",39,39,23,14,2,0,39,100.0,2022
"SHRI.KANIFNATH VIDYALAYA, BHIVARI, TQ.PURANDAR",82,82,50,29,3,0,82,100.0,2022
"NEW ENGLISH SCHOOL, JEUR, TQ.PURANDAR",22,21,10,9,1,0,20,95.23,2022
"SHRI.BHAIRAVNATH VIDYALAYA, VANPURI, TQ.PURANDAR",35,35,34,1,0,0,35,100.0,2022
"MATOSHREE JIJAI SOPANRAO JADHAV SEC.HI.SCH,SAKURDE",23,23,14,5,4,0,23,100.0,2022
"MAVADI PIMPRI HIGH SCHOOL, PIMPRI, TQ.PURANDAR",22,22,16,6,0,0,22,100.0,2022
"MAHUR MADYAMIK VIDYALAYA, MAHUR, TQ.PURANDAR",31,31,22,6,3,0,31,100.0,2022
"HARANI MADHYAMIK VIDYALAYA, HARANI, TQ.PURANDAR",14,14,8,5,0,1,14,100.0,2022
"JIJAMATA HIGH SCHOOL, JEJURI, TQ.PURANDAR",205,205,97,92,16,0,205,100.0,2022
"ADRSHA MADHYAMIK VIDYALAYA, KETKAVALE, TQ.PURANDAR",35,35,4,29,2,0,35,100.0,2022
"ACHARYA P K ATRE VIDYLAYA , PIMPALE, TQ.PURANDAR",38,38,24,13,1,0,38,100.0,2022
"NEW ENGLISH SCHOOL, JAWALARJUN, TQ.PURANDAR",29,29,27,0,2,0,29,100.0,2022
"NEW ENGLISH SCHOOL, GURHOLI, TQ.PURANDAR",53,53,34,17,2,0,53,100.0,2022
"SHRI,SHIVSHAMBHU MADHYAMIK VIDYALAYA, KHALAD, PUNE",23,21,12,8,1,0,21,100.0,2022
"HON.DADA JADHAVRAO VIDYA, OLD JEJURI, TQ.PURANDAR",23,21,2,15,4,0,21,100.0,2022
"HUTATMA UMAJI NAIK H.SCH, A/P BHIWADI, TQ.PURANDAR",29,29,22,6,0,0,28,96.55,2022
"RISE PISE MADHYAMIK VIDYALAYA, RISE, TQ.PURANDAR",29,29,24,5,0,0,29,100.0,2022
"SADGURU SHREE NARAYAN MAHARAJ MADHY.VID,NARAYANPUR",18,18,13,3,2,0,18,100.0,2022
"RAJE SHIVRAYA VIDAYALAYA, PANAWADI, TQ.PURANDAR",17,17,15,2,0,0,17,100.0,2022
"SHRI.B.S.KAKADE (DESHMUKH) VIDYALAYA, PIMPRE(KD)",49,49,32,17,0,0,49,100.0,2022
"GURUWARYA NARAYAN MAHARAJ MADHYA.VIDYALAYA, HIVRE",30,30,19,9,2,0,30,100.0,2022
"WAGHESHWARI MADHYA.VIDYALAYA, PINGORI, TQ.PURANDAR",15,8,6,2,0,0,8,100.0,2022
"RAJURI MADHYAMIK VIDYALAYA, RAJURI, TQ.PURANDAR",22,22,11,8,3,0,22,100.0,2022
"SHRI.SADGURU KANIFNATH MADHYAMIK VIDYALAYA,BOPGAON",30,30,25,5,0,0,30,100.0,2022
"SHIVAJI ENGLISH MEDIUM SCHOOL, SASWAD, TQ.PURANDAR",90,90,68,17,4,0,89,98.88,2022
"SHREE SANT SOPANKAKA HSCHL,SASWAD,TA PURANDAR,PUNE",122,122,50,52,19,1,122,100.0,2022
"PURANDAR PUBLIC SCHOOL,JEJURI,PUNE",13,13,11,1,1,0,13,100.0,2022
"MAHATMA JYOTIBHA PHULE VIDYALAY,PURANDHAR,PUNE,",16,15,11,2,1,0,14,93.33,2022
ANU.JATI VA NAVBHUDHA MULANCHI SHASAKIYA NIWASI SC,31,26,4,21,1,0,26,100.0,2022
"JIJAMATA ENGLISH MEDIUM HIGH SCHOOL,PURANDHAR,PUNE",30,30,19,11,0,0,30,100.0,2022
"SHARADA ENGLISH MEDIUM SCHOOL, WAGHAPUR",12,12,8,4,0,0,12,100.0,2022
"INDU ENGLISH SCHOOL, JEJURI-MORGAON ROAD,KOLVIHIRE",11,11,11,0,0,0,11,100.0,2022
SHREENATH EDU SOC ENG MED SCHOOL VEER,42,42,39,3,0,0,42,100.0,2022
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLL, SASWAD, PUNE",251,251,106,84,53,6,249,99.2,2023
"MAHATMA GANDHI VIDYALAYA, NIRA, TQ.PURANDHAR, PUNE",99,99,18,36,33,9,96,96.96,2023
"PUNYASHLOK AHILYADEVI VIDYA MANDIR, JEJURI, PUNE",54,54,23,18,7,6,54,100.0,2023
"MAHARASHI WALMIKI VIDYALAYA,WALHE,T.PURANDHAR,PUNE",100,100,13,48,28,5,94,94.0,2023
"KARMAVEER VIDYALAYA, PARINCHE, TQ.PURANDHAR, PUNE",68,68,33,25,6,3,67,98.52,2023
"PANCHAKROSHI SHETKARI TECH.H.SCHOOL, WAGHAPUR,PUNE",46,46,22,18,5,0,45,97.82,2023
"PURANDHAR HIGH SCHOOL, SASWAD, TQ.PURANDAR, PUNE",124,124,18,31,31,24,104,83.87,2023
"SHANKARRAO DONE VIDYALAYA GARADE, TQ.PURANDAR,PUNE",73,73,17,45,9,1,72,98.63,2023
"SHRI.SHIVAJI VIDYA MANDIR, AMBALE, RAJEWADI, PUNE",16,16,1,9,1,4,15,93.75,2023
"RAVINDRANATH TAGORE VIDYALAYA, VEER,PURANDHAR,PUNE",52,51,14,19,12,4,49,96.07,2023
"MAHATMA JYOTIRAO PHULE VIDY,YAMAISTAND,SHIVRI PUNE",84,84,23,39,17,4,83,98.8,2023
"AGRO-INDUSTRIAL H.SCHOOL, CHAMBALI,PURANDHAR,PUNE",82,82,25,34,15,3,77,93.9,2023
"BALSIDHANATH VIDYALAYA, BELSAR, PURANDAR, PUNE",20,20,11,8,1,0,20,100.0,2023
"SHRI.KATOBA HIGH SCHOOL, DIV E, PURANDAR, PUNE",81,81,9,25,25,14,73,90.12,2023
"DR.S.KOLATE VIDYALAYA, PISARVE, PURANDAR, PUNE",42,42,15,17,8,1,41,97.61,2023
"PARESHWAR VIDYALAYA, PARGAON-MEMANE, PURANDAR PUNE",53,53,21,25,6,1,53,100.0,2023
"LILAVATI R.S.GIRL'S SCHOOL, NEERA, PURANDAR, PUNE",99,98,31,38,19,5,93,94.89,2023
"JOTIRLING HIGH SCHOOL, GULUNCHE, TQ.PURANDHAR PUNE",63,63,14,24,14,8,60,95.23,2023
"NEW ENGLISH SCHOOL, PANGARE, TQ.PURANDHAR, PUNE",19,19,8,6,4,0,18,94.73,2023
"YASHWANT VIDYALAYA, MAWADI-KADEPATHAR, PURANDHAR",40,40,13,20,6,1,40,100.0,2023
"NEW ENGLISH SCHOOL, MANDKI, TQ.PURANDAR, DIST.PUNE",65,65,31,29,4,1,65,100.0,2023
"SHRI.BHULESHWAR VIDYALAYA,MALSHIRAS,PURANDHAR,PUNE",69,69,12,24,16,11,63,91.3,2023
"SHRI.SIDHESHWAR VIDYALAYA, NAIGAON, TQ.PURANDAR",24,24,6,10,6,2,24,100.0,2023
"MAHARSHI VALMIK VIDYALAYA, KOLVIHIRE, TQ.PURANDAR",42,42,13,16,9,3,41,97.61,2023
"SWA SMT KAMLABAI M MUTHA KANYA PRASHALA, SASWAD,",45,45,7,16,15,4,42,93.33,2023
"VIDYA MAHAMANDAL PRASHALA, KOTHALE, TQ.PURANDHAR",66,66,18,33,15,0,66,100.0,2023
"SHIVSHAMBHO VIDYALAYA, EAKHATPUR-MUNJWADI,PURANDAR",21,21,6,6,8,1,21,100.0,2023
"MADHYAMIK VIDYALAYA, MANDHAR, TQ.PURANDAR",21,21,9,10,2,0,21,100.0,2023
"SHRI.KEDARESHWAR VIDYALAYA, KALDARI, TQ.PURANDAR",26,26,4,16,5,1,26,100.0,2023
"SHRI.NAGESHWAR VIDYALAYA, NAZARE(K P), TQ.PURANDAR",21,21,10,9,2,0,21,100.0,2023
"S.M.DR.PATANGRAO KADAM VIDYALAYA,DOUNDDAJ,PURANDAR",33,33,12,15,5,0,32,96.96,2023
