Name of the School,Candidates Registerd,Candidates Appeared,Distin-ction,Grade I,Grade II,Pass Grade,Total Pass,Pass Percent,Year
"MADHYAMIK VIDYALAYA, YADAVWADI, P.HARGUDE,PURANDAR",33,33,9,15,8,0,32,96.96,2023
"SHRI.KANIFNATH VIDYALAYA, BHIVARI, TQ.PURANDAR",86,86,32,39,10,5,86,100.0,2023
"NEW ENGLISH SCHOOL, JEUR, TQ.PURANDAR",30,30,5,14,8,3,30,100.0,2023
"SHRI.BHAIRAVNATH VIDYALAYA, VANPURI, TQ.PURANDAR",21,21,7,10,4,0,21,100.0,2023
"MATOSHREE JIJAI SOPANRAO JADHAV SEC.HI.SCH,SAKURDE",28,28,11,12,4,1,28,100.0,2023
"MAVADI PIMPRI HIGH SCHOOL, PIMPRI, TQ.PURANDAR",34,34,11,18,4,1,34,100.0,2023
"MAHUR MADYAMIK VIDYALAYA, MAHUR, TQ.PURANDAR",32,32,11,12,9,0,32,100.0,2023
"HARANI MADHYAMIK VIDYALAYA, HARANI, TQ.PURANDAR",25,25,11,12,2,0,25,100.0,2023
"JIJAMATA HIGH SCHOOL, JEJURI, TQ.PURANDAR",213,213,103,81,29,0,213,100.0,2023
"ADRSHA MADHYAMIK VIDYALAYA, KETKAVALE, TQ.PURANDAR",51,51,13,30,7,1,51,100.0,2023
"ACHARYA P K ATRE VIDYLAYA , PIMPALE, TQ.PURANDAR",32,32,10,16,6,0,32,100.0,2023
"NEW ENGLISH SCHOOL, JAWALARJUN, TQ.PURANDAR",23,23,12,11,0,0,23,100.0,2023
"NEW ENGLISH SCHOOL, GURHOLI, TQ.PURANDAR",42,42,27,12,3,0,42,100.0,2023
"SHRI,SHIVSHAMBHU MADHYAMIK VIDYALAYA, KHALAD, PUNE",11,11,6,3,2,0,11,100.0,2023
"HON.DADA JADHAVRAO VIDYA, OLD JEJURI, TQ.PURANDAR",11,10,1,6,3,0,10,100.0,2023
"HUTATMA UMAJI NAIK H.SCH, A/P BHIWADI, TQ.PURANDAR",51,51,19,21,11,0,51,100.0,2023
"RISE PISE MADHYAMIK VIDYALAYA, RISE, TQ.PURANDAR",35,35,12,20,2,1,35,100.0,2023
"SADGURU SHREE NARAYAN MAHARAJ MADHY.VID,NARAYANPUR",43,43,9,17,16,1,43,100.0,2023
"RAJE SHIVRAYA VIDAYALAYA, PANAWADI, TQ.PURANDAR",14,14,3,5,4,2,14,100.0,2023
"SHRI.B.S.KAKADE (DESHMUKH) VIDYALAYA, PIMPRE(KD)",41,41,8,18,12,3,41,100.0,2023
"GURUWARYA NARAYAN MAHARAJ MADHYA.VIDYALAYA, HIVRE",33,33,14,15,4,0,33,100.0,2023
"WAGHESHWARI MADHYA.VIDYALAYA, PINGORI, TQ.PURANDAR",17,17,3,9,4,1,17,100.0,2023
"RAJURI MADHYAMIK VIDYALAYA, RAJURI, TQ.PURANDAR",26,26,5,8,12,1,26,100.0,2023
"SHRI.SADGURU KANIFNATH MADHYAMIK VIDYALAYA,BOPGAON",12,12,4,6,2,0,12,100.0,2023
"SHIVAJI ENGLISH MEDIUM SCHOOL, SASWAD, TQ.PURANDAR",110,110,78,28,4,0,110,100.0,2023
"SHREE SANT SOPANKAKA HSCHL,SASWAD,TA PURANDAR,PUNE",87,87,37,31,17,2,87,100.0,2023
"PURANDAR PUBLIC SCHOOL,JEJURI,PUNE",32,32,18,14,0,0,32,100.0,2023
"MAHATMA JYOTIBHA PHULE VIDYALAY,PURANDHAR,PUNE,",15,15,0,1,7,3,11,73.33,2023
"GURUKUL ENGLISH MEDIUM SCHOOL, PURANDHAR, PUNE",12,12,4,5,2,1,12,100.0,2023
ANU.JATI VA NAVBHUDHA MULANCHI SHASAKIYA NIWASI SC,14,14,1,5,4,3,13,92.85,2023
"JIJAMATA ENGLISH MEDIUM HIGH SCHOOL,PURANDHAR,PUNE",26,26,18,8,0,0,26,100.0,2023
"SHARADA ENGLISH MEDIUM SCHOOL, WAGHAPUR",8,8,1,7,0,0,8,100.0,2023
"INDU ENGLISH SCHOOL, JEJURI-MORGAON ROAD,KOLVIHIRE",11,11,9,2,0,0,11,100.0,2023
SHREENATH EDU SOC ENG MED SCHOOL VEER,23,23,19,3,1,0,23,100.0,2023
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLL, SASWAD, PUNE",255,255,130,80,39,4,253,99.21,2024
"MAHATMA GANDHI VIDYALAYA, NIRA, TQ.PURANDHAR, PUNE",84,84,17,29,21,10,77,91.66,2024
"PUNYASHLOK AHILYADEVI VIDYA MANDIR, JEJURI, PUNE",78,78,33,28,14,2,77,98.71,2024
"MAHARASHI WALMIKI VIDYALAYA,WALHE,T.PURANDHAR,PUNE",106,105,42,41,22,0,105,100.0,2024
"KARMAVEER VIDYALAYA, PARINCHE, TQ.PURANDHAR, PUNE",77,77,32,34,9,2,77,100.0,2024
"PANCHAKROSHI SHETKARI TECH.H.SCHOOL, WAGHAPUR,PUNE",48,48,28,17,3,0,48,100.0,2024
"PURANDHAR HIGH SCHOOL, SASWAD, TQ.PURANDAR, PUNE",156,156,18,44,56,10,128,82.05,2024
"SHANKARRAO DONE VIDYALAYA GARADE, TQ.PURANDAR,PUNE",68,68,32,25,10,1,68,100.0,2024
"SHRI.SHIVAJI VIDYA MANDIR, AMBALE, RAJEWADI, PUNE",17,17,0,6,9,1,16,94.11,2024
"RAVINDRANATH TAGORE VIDYALAYA, VEER,PURANDHAR,PUNE",49,49,11,21,10,5,47,95.91,2024
"MAHATMA JYOTIRAO PHULE VIDY,YAMAISTAND,SHIVRI PUNE",87,87,47,28,9,2,86,98.85,2024
"AGRO-INDUSTRIAL H.SCHOOL, CHAMBALI,PURANDHAR,PUNE",68,68,27,26,14,1,68,100.0,2024
"BALSIDHANATH VIDYALAYA, BELSAR, PURANDAR, PUNE",21,21,6,12,3,0,21,100.0,2024
"SHRI.KATOBA HIGH SCHOOL, DIV E, PURANDAR, PUNE",86,84,7,33,29,13,82,97.61,2024
"DR.S.KOLATE VIDYALAYA, PISARVE, PURANDAR, PUNE",45,45,11,20,9,4,44,97.77,2024
"PARESHWAR VIDYALAYA, PARGAON-MEMANE, PURANDAR PUNE",36,36,26,9,1,0,36,100.0,2024
"LILAVATI R.S.GIRL'S SCHOOL, NEERA, PURANDAR, PUNE",89,89,47,22,17,3,89,100.0,2024
"JOTIRLING HIGH SCHOOL, GULUNCHE, TQ.PURANDHAR PUNE",55,55,17,24,10,4,55,100.0,2024
"NEW ENGLISH SCHOOL, PANGARE, TQ.PURANDHAR, PUNE",19,19,4,9,5,1,19,100.0,2024
"YASHWANT VIDYALAYA, MAWADI-KADEPATHAR, PURANDHAR",45,45,17,20,6,1,44,97.77,2024
"NEW ENGLISH SCHOOL, MANDKI, TQ.PURANDAR, DIST.PUNE",39,39,20,14,5,0,39,100.0,2024
"SHRI.BHULESHWAR VIDYALAYA,MALSHIRAS,PURANDHAR,PUNE",45,45,16,17,8,2,43,95.55,2024
"SHRI.SIDHESHWAR VIDYALAYA, NAIGAON, TQ.PURANDAR",21,21,16,4,1,0,21,100.0,2024
"MAHARSHI VALMIK VIDYALAYA, KOLVIHIRE, TQ.PURANDAR",36,36,14,15,7,0,36,100.0,2024
"SWA SMT KAMLABAI M MUTHA KANYA PRASHALA, SASWAD,",54,54,6,22,18,3,49,90.74,2024
"VIDYA MAHAMANDAL PRASHALA, KOTHALE, TQ.PURANDHAR",64,63,19,28,15,1,63,100.0,2024
"SHIVSHAMBHO VIDYALAYA, EAKHATPUR-MUNJWADI,PURANDAR",29,29,13,15,1,0,29,100.0,2024
"MADHYAMIK VIDYALAYA, MANDHAR, TQ.PURANDAR",13,13,7,3,3,0,13,100.0,2024
"SHRI.KEDARESHWAR VIDYALAYA, KALDARI, TQ.PURANDAR",32,32,10,17,5,0,32,100.0,2024
"SHRI.NAGESHWAR VIDYALAYA, NAZARE(K P), TQ.PURANDAR",28,28,19,8,1,0,28,100.0,2024
"S.M.DR.PATANGRAO KADAM VIDYALAYA,DOUNDDAJ,PURANDAR",34,34,13,18,2,1,34,100.0,2024
"MADHYAMIK VIDYALAYA, YADAVWADI, P.HARGUDE,PURANDAR",32,32,10,14,5,3,32,100.0,2024
"SHRI.KANIFNATH VIDYALAYA, BHIVARI, TQ.PURANDAR",74,74,31,34,9,0,74,100.0,2024
"NEW ENGLISH SCHOOL, JEUR, TQ.PURANDAR",17,17,5,3,7,2,17,100.0,2024
"SHRI.BHAIRAVNATH VIDYALAYA, VANPURI, TQ.PURANDAR",33,33,7,9,16,0,32,96.96,2024
"MATOSHREE JIJAI SOPANRAO JADHAV SEC.HI.SCH,SAKURDE",23,23,14,7,0,2,23,100.0,2024
"MAVADI PIMPRI HIGH SCHOOL, PIMPRI, TQ.PURANDAR",27,27,14,8,5,0,27,100.0,2024
"MAHUR MADYAMIK VIDYALAYA, MAHUR, TQ.PURANDAR",30,30,12,17,1,0,30,100.0,2024
"HARANI MADHYAMIK VIDYALAYA, HARANI, TQ.PURANDAR",24,24,11,12,1,0,24,100.0,2024
"JIJAMATA HIGH SCHOOL, JEJURI, TQ.PURANDAR",191,191,87,77,25,1,190,99.47,2024
"ADRSHA MADHYAMIK VIDYALAYA, KETKAVALE, TQ.PURANDAR",33,33,11,13,9,0,33,100.0,2024
"ACHARYA P K ATRE VIDYLAYA , PIMPALE, TQ.PURANDAR",37,37,7,16,12,0,35,94.59,2024
"NEW ENGLISH SCHOOL, JAWALARJUN, TQ.PURANDAR",18,18,11,5,2,0,18,100.0,2024
"NEW ENGLISH SCHOOL, GURHOLI, TQ.PURANDAR",50,50,35,14,1,0,50,100.0,2024
"SHRI,SHIVSHAMBHU MADHYAMIK VIDYALAYA, KHALAD, PUNE",18,18,6,10,2,0,18,100.0,2024
"HON.DADA JADHAVRAO VIDYA, OLD JEJURI, TQ.PURANDAR",22,22,5,9,5,3,22,100.0,2024
"HUTATMA UMAJI NAIK H.SCH, A/P BHIWADI, TQ.PURANDAR",25,25,6,15,4,0,25,100.0,2024
"RISE PISE MADHYAMIK VIDYALAYA, RISE, TQ.PURANDAR",23,23,12,7,4,0,23,100.0,2024
"SADGURU SHREE NARAYAN MAHARAJ MADHY.VID,NARAYANPUR",28,28,8,10,6,3,27,96.42,2024
"RAJE SHIVRAYA VIDAYALAYA, PANAWADI, TQ.PURANDAR",10,10,1,4,2,3,10,100.0,2024
"SHRI.B.S.KAKADE (DESHMUKH) VIDYALAYA, PIMPRE(KD)",46,46,11,20,12,3,46,100.0,2024
"GURUWARYA NARAYAN MAHARAJ MADHYA.VIDYALAYA, HIVRE",32,32,11,14,6,1,32,100.0,2024
"WAGHESHWARI MADHYA.VIDYALAYA, PINGORI, TQ.PURANDAR",12,12,4,7,1,0,12,100.0,2024
"RAJURI MADHYAMIK VIDYALAYA, RAJURI, TQ.PURANDAR",25,25,5,9,11,0,25,100.0,2024
"SHRI.SADGURU KANIFNATH MADHYAMIK VIDYALAYA,BOPGAON",25,25,7,15,2,0,24,96.0,2024
"SHIVAJI ENGLISH MEDIUM SCHOOL, SASWAD, TQ.PURANDAR",85,85,59,23,3,0,85,100.0,2024
"SHREE SANT SOPANKAKA HSCHL,SASWAD,TA PURANDAR,PUNE",116,116,40,42,24,9,115,99.13,2024
"PURANDAR PUBLIC SCHOOL,JEJURI,PUNE",44,44,24,16,4,0,44,100.0,2024
"MAHATMA JYOTIBHA PHULE VIDYALAY,PURANDHAR,PUNE,",17,17,6,3,5,0,14,82.35,2024
"GURUKUL ENGLISH MEDIUM SCHOOL, PURANDHAR, PUNE",12,12,2,8,2,0,12,100.0,2024
ANU.JATI VA NAVBHUDHA MULANCHI SHASAKIYA NIWASI SC,17,17,0,3,7,4,14,82.35,2024
"JIJAMATA ENGLISH MEDIUM HIGH SCHOOL,PURANDHAR,PUNE",35,35,25,9,1,0,35,100.0,2024
"SHARADA ENGLISH MEDIUM SCHOOL, WAGHAPUR",17,17,14,3,0,0,17,100.0,2024
"INDU ENGLISH SCHOOL, JEJURI-MORGAON ROAD,KOLVIHIRE",19,19,13,6,0,0,19,100.0,2024
SHREENATH EDU SOC ENG MED SCHOOL VEER,26,26,18,7,1,0,26,100.0,2024
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLL, SASWAD, PUNE",249,249,120,86,37,4,247,99.19,2025
"MAHATMA GANDHI VIDYALAYA, NIRA, TQ.PURANDHAR, PUNE",87,87,14,24,28,13,79,90.8,2025
"PUNYASHLOK AHILYADEVI VIDYA MANDIR, JEJURI, PUNE",65,65,21,27,13,1,62,95.38,2025
"MAHARASHI WALMIKI VIDYALAYA,WALHE,T.PURANDHAR,PUNE",106,106,46,39,18,1,104,98.11,2025
"KARMAVEER VIDYALAYA, PARINCHE, TQ.PURANDHAR, PUNE",73,72,26,33,8,5,72,100.0,2025
"PANCHAKROSHI SHETKARI TECH.H.SCHOOL, WAGHAPUR,PUNE",66,66,36,27,3,0,66,100.0,2025
"PURANDHAR HIGH SCHOOL, SASWAD, TQ.PURANDAR, PUNE",147,146,15,40,52,15,122,83.56,2025
"SHANKARRAO DONE VIDYALAYA GARADE, TQ.PURANDAR,PUNE",72,72,20,30,22,0,72,100.0,2025
"SHRI.SHIVAJI VIDYA MANDIR, AMBALE, RAJEWADI, PUNE",18,18,2,5,10,1,18,100.0,2025
"RAVINDRANATH TAGORE VIDYALAYA, VEER,PURANDHAR,PUNE",37,37,6,14,10,6,36,97.29,2025
"MAHATMA JYOTIRAO PHULE VIDY,YAMAISTAND,SHIVRI PUNE",65,65,18,28,13,5,64,98.46,2025
"AGRO-INDUSTRIAL H.SCHOOL, CHAMBALI,PURANDHAR,PUNE",62,62,20,27,14,1,62,100.0,2025
"BALSIDHANATH VIDYALAYA, BELSAR, PURANDAR, PUNE",24,24,4,10,7,3,24,100.0,2025
"SHRI.KATOBA HIGH SCHOOL, DIV E, PURANDAR, PUNE",72,72,1,21,33,13,68,94.44,2025
"DR.S.KOLATE VIDYALAYA, PISARVE, PURANDAR, PUNE",38,38,21,13,3,0,37,97.36,2025
"PARESHWAR VIDYALAYA, PARGAON-MEMANE, PURANDAR PUNE",47,47,30,15,2,0,47,100.0,2025
"LILAVATI R.S.GIRL'S SCHOOL, NEERA, PURANDAR, PUNE",97,97,39,29,18,7,93,95.87,2025
"JOTIRLING HIGH SCHOOL, GULUNCHE, TQ.PURANDHAR PUNE",69,69,19,24,15,8,66,95.65,2025
"NEW ENGLISH SCHOOL, PANGARE, TQ.PURANDHAR, PUNE",19,19,5,12,2,0,19,100.0,2025
"YASHWANT VIDYALAYA, MAWADI-KADEPATHAR, PURANDHAR",45,45,12,24,8,1,45,100.0,2025
"NEW ENGLISH SCHOOL, MANDKI, TQ.PURANDAR, DIST.PUNE",54,54,19,26,9,0,54,100.0,2025
"SHRI.BHULESHWAR VIDYALAYA,MALSHIRAS,PURANDHAR,PUNE",48,48,14,20,14,0,48,100.0,2025
"SHRI.SIDHESHWAR VIDYALAYA, NAIGAON, TQ.PURANDAR",26,26,10,15,1,0,26,100.0,2025
"MAHARSHI VALMIK VIDYALAYA, KOLVIHIRE, TQ.PURANDAR",23,23,3,10,8,2,23,100.0,2025
"SWA SMT KAMLABAI M MUTHA KANYA PRASHALA, SASWAD,",66,65,6,23,18,12,59,90.76,2025
"VIDYA MAHAMANDAL PRASHALA, KOTHALE, TQ.PURANDHAR",66,66,20,28,14,1,63,95.45,2025
"SHIVSHAMBHO VIDYALAYA, EAKHATPUR-MUNJWADI,PURANDAR",33,33,1,14,14,4,33,100.0,2025
"MADHYAMIK VIDYALAYA, MANDHAR, TQ.PURANDAR",18,18,7,7,2,1,17,94.44,2025
"SHRI.KEDARESHWAR VIDYALAYA, KALDARI, TQ.PURANDAR",30,30,4,14,9,3,30,100.0,2025
"SHRI.NAGESHWAR VIDYALAYA, NAZARE(K P), TQ.PURANDAR",22,22,7,10,4,0,21,95.45,2025
"S.M.DR.PATANGRAO KADAM VIDYALAYA,DOUNDDAJ,PURANDAR",32,32,12,16,4,0,32,100.0,2025
"MADHYAMIK VIDYALAYA, YADAVWADI, P.HARGUDE,PURANDAR",33,33,13,14,6,0,33,100.0,2025
"SHRI.KANIFNATH VIDYALAYA, BHIVARI, TQ.PURANDAR",78,78,21,35,20,1,77,98.71,2025
"NEW ENGLISH SCHOOL, JEUR, TQ.PURANDAR",27,27,11,14,2,0,27,100.0,2025
"SHRI.BHAIRAVNATH VIDYALAYA, VANPURI, TQ.PURANDAR",34,34,10,17,6,1,34,100.0,2025
"MATOSHREE JIJAI SOPANRAO JADHAV SEC.HI.SCH,SAKURDE",34,34,12,11,9,1,33,97.05,2025
"MAVADI PIMPRI HIGH SCHOOL, PIMPRI, TQ.PURANDAR",25,25,13,6,6,0,25,100.0,2025
"MAHUR MADYAMIK VIDYALAYA, MAHUR, TQ.PURANDAR",26,26,8,13,5,0,26,100.0,2025
"HARANI MADHYAMIK VIDYALAYA, HARANI, TQ.PURANDAR",15,15,4,9,1,0,14,93.33,2025
"JIJAMATA HIGH SCHOOL, JEJURI, TQ.PURANDAR",182,182,53,88,33,8,182,100.0,2025
"ADRSHA MADHYAMIK VIDYALAYA, KETKAVALE, TQ.PURANDAR",51,51,6,14,22,5,47,92.15,2025
"ACHARYA P K ATRE VIDYLAYA , PIMPALE, TQ.PURANDAR",34,34,16,11,5,2,34,100.0,2025
"NEW ENGLISH SCHOOL, JAWALARJUN, TQ.PURANDAR",16,16,6,8,1,1,16,100.0,2025
"NEW ENGLISH SCHOOL, GURHOLI, TQ.PURANDAR",48,48,23,22,3,0,48,100.0,2025
"SHRI,SHIVSHAMBHU MADHYAMIK VIDYALAYA, KHALAD, PUNE",22,22,7,10,4,1,22,100.0,2025
"HON.DADA JADHAVRAO VIDYA, OLD JEJURI, TQ.PURANDAR",18,18,2,7,4,3,16,88.88,2025
"HUTATMA UMAJI NAIK H.SCH, A/P BHIWADI, TQ.PURANDAR",28,28,9,11,7,0,27,96.42,2025
"RISE PISE MADHYAMIK VIDYALAYA, RISE, TQ.PURANDAR",18,18,10,6,1,1,18,100.0,2025
"SADGURU SHREE NARAYAN MAHARAJ MADHY.VID,NARAYANPUR",25,25,3,11,8,2,24,96.0,2025
"RAJE SHIVRAYA VIDAYALAYA, PANAWADI, TQ.PURANDAR",13,13,0,2,5,5,12,92.3,2025
"SHRI.B.S.KAKADE (DESHMUKH) VIDYALAYA, PIMPRE(KD)",51,51,11,17,18,5,51,100.0,2025
"GURUWARYA NARAYAN MAHARAJ MADHYA.VIDYALAYA, HIVRE",39,39,17,14,7,0,38,97.43,2025
"WAGHESHWARI MADHYA.VIDYALAYA, PINGORI, TQ.PURANDAR",11,11,2,6,3,0,11,100.0,2025
"RAJURI MADHYAMIK VIDYALAYA, RAJURI, TQ.PURANDAR",19,19,9,8,2,0,19,100.0,2025
"SHRI.SADGURU KANIFNATH MADHYAMIK VIDYALAYA,BOPGAON",26,26,13,9,4,0,26,100.0,2025
"SHIVAJI ENGLISH MEDIUM SCHOOL, SASWAD, TQ.PURANDAR",111,111,80,26,5,0,111,100.0,2025
"SHREE SANT SOPANKAKA HSCHL,SASWAD,TA PURANDAR,PUNE",96,96,41,25,29,0,95,98.95,2025
"PURANDAR PUBLIC SCHOOL,JEJURI,PUNE",44,44,20,19,5,0,44,100.0,2025
"GURUKUL ENGLISH MEDIUM SCHOOL, PURANDHAR, PUNE",8,8,6,2,0,0,8,100.0,2025
ANU.JATI VA NAVBHUDHA MULANCHI SHASAKIYA NIWASI SC,16,16,1,5,9,1,16,100.0,2025
"JIJAMATA ENGLISH MEDIUM HIGH SCHOOL,PURANDHAR,PUNE",31,31,16,13,1,1,31,100.0,2025
"SHARADA ENGLISH MEDIUM SCHOOL, WAGHAPUR",11,11,8,3,0,0,11,100.0,2025
"INDU ENGLISH SCHOOL, JEJURI-MORGAON ROAD,KOLVIHIRE",8,8,7,1,0,0,8,100.0,2025
SHREENATH EDU SOC ENG MED SCHOOL VEER,22,22,20,2,0,0,22,100.0,2025
